config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
hugo_alpha0p2,HUGO,0.2,0.005,0.5,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,1311.0,1311000,46275,46.731399999999994,0.03564561403508772,0.0049995407244190675,1311.0,46.731399999999994,0.03564561403508772,10,0.0006982554469669507
hugo_alpha0p2,HUGO,0.2,0.01,1.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,2621.0,2621000,92851,93.3162,0.035603281190385354,0.009984882251435089,1310.0,46.5848,0.03556091603053435,10,0.0009859056138006134
hugo_alpha0p2,HUGO,0.2,0.02,2.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,5243.0,5243000,186441,186.9,0.0356475300400534,0.020000054218853685,2622.0,93.5838,0.035691762013729984,10,0.0013911316707251869
hugo_alpha0p2,HUGO,0.2,0.05,5.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,13107.0,13107000,466777,467.235,0.03564774547951476,0.05000047744187523,7864.0,280.335,0.03564788911495422,10,0.002152120754577138
hugo_alpha0p2,HUGO,0.2,0.1,10.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,26214.0,26214000,934153,934.6086,0.03565303273060196,0.10001754161391883,13107.0,467.3736,0.035658319981689175,10,0.002985812858478157
hugo_alpha0p2,HUGO,0.2,0.2,20.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,52429.0,52429000,1868960,1869.4206000000001,0.03565623223788361,0.2000587248508943,26215.0,934.812,0.03565943162311653,10,0.003942905145171309
hugo_alpha0p2,HUGO,0.2,0.3,30.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,78643.0,78643000,2803022,2803.4651999999996,0.035647994099919894,0.3000229287297472,26214.0,934.0446000000001,0.03563151750972763,10,0.004527434100990582
hugo_alpha0p2,HUGO,0.2,0.4,40.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,104858.0,104858000,3736922,3737.3702999999996,0.03564220469587442,0.39997008060787126,26215.0,933.9051,0.035624836925424376,10,0.004863447173330458
hugo_alpha0p2,HUGO,0.2,0.5,50.0,1000,262144.0,9344.194,9344.194,0.03564527130126953,3.564527130126953,131072.0,131072000,4671487,4671.942,0.03564408874511719,0.4999849648694236,26214.0,934.5717,0.035651625085831994,10,0.004976692728415378
hugo_alpha0p5,HUGO,0.5,0.005,0.5,1000,262144.0,27836.594,27836.594,0.10618817901611328,10.618817901611328,1311.0,1311000,138697,139.15840000000003,0.10614675819984742,0.004998965944595394,1311.0,139.15840000000003,0.10614675819984742,10,0.0003966299627183405
