distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
srm_residual,stego,MIPOD,0.1,0.01,0.01540907178158194,0.020141892407478063,1.540907178158194
srm_residual,stego,MIPOD,0.1,0.05,0.07584318903745452,0.01979500267032883,1.5168637807490903
srm_residual,stego,MIPOD,0.1,0.1,0.1490658287380382,0.019416437781338218,1.490658287380382
srm_residual,stego,MIPOD,0.1,0.2,0.2873781520284876,0.018640984951076696,1.4368907601424379
srm_residual,stego,MIPOD,0.1,0.3,0.4150699859269651,0.017877144818992156,1.3835666197565504
srm_residual,stego,MIPOD,0.1,0.4,0.532127545659326,0.017121802819050527,1.3303188641483148
srm_residual,stego,MIPOD,0.1,0.5,0.6385150615861117,0.01637355194091797,1.2770301231722234
srm_residual,stego,MIPOD,0.2,0.01,0.015085205019230913,0.04664704311331553,1.5085205019230912
srm_residual,stego,MIPOD,0.2,0.05,0.07451865342651218,0.046011474784466315,1.4903730685302434
srm_residual,stego,MIPOD,0.2,0.1,0.14664232448772654,0.04518800640878919,1.4664232448772654
srm_residual,stego,MIPOD,0.2,0.2,0.2836037693765481,0.04352081481622767,1.4180188468827404
srm_residual,stego,MIPOD,0.2,0.3,0.41060865878235236,0.04183313073000776,1.368695529274508
srm_residual,stego,MIPOD,0.2,0.4,0.527607214386353,0.04014627591600069,1.3190180359658825
srm_residual,stego,MIPOD,0.2,0.5,0.6344850741060545,0.03846352310180664,1.268970148212109
srm_residual,stego,MIPOD,0.3,0.01,0.014801553261474828,0.07687771842808087,1.4801553261474827
srm_residual,stego,MIPOD,0.3,0.05,0.07321300079346961,0.07595056839856566,1.4642600158693921
srm_residual,stego,MIPOD,0.3,0.1,0.14428012571813043,0.07471466010528725,1.4428012571813043
srm_residual,stego,MIPOD,0.3,0.2,0.2797718547183822,0.07218024185088405,1.3988592735919108
srm_residual,stego,MIPOD,0.3,0.3,0.4061168705971755,0.06958333863153746,1.353722901990585
